date,nombre_appels
2023-01-12,1265.0
2023-01-13,1351.0
2023-01-14,586.0
2023-01-15,78.0
2023-01-16,871.0
2023-01-17,1464.0
2023-01-18,1200.0
2023-01-19,1229.0
2023-01-20,1265.0
2023-01-21,1404.0
2023-01-22,1136.0
2023-01-23,1465.0
2023-01-24,1660.0
2023-01-25,2030.0
2023-01-26,1400.0
2023-01-27,1278.0
2023-01-28,1107.0
2023-01-29,965.0
2023-01-30,1695.0
2023-01-31,1361.0
2023-02-01,1309.0
2023-02-02,1333.0
2023-02-03,1263.0
2023-02-04,1175.0
2023-02-05,993.0
2023-02-06,1331.0
2023-02-07,1587.0
2023-02-08,1412.0
2023-02-09,1324.0
2023-02-10,1198.0
2023-02-11,1231.0
2023-02-12,954.0
2023-02-13,1300.0
2023-02-14,1205.0
2023-02-15,1418.0
2023-02-16,1334.0
2023-02-17,1212.0
2023-02-18,1439.0
2023-02-19,1028.0
2023-02-20,1478.0
2023-02-21,1298.0
2023-02-22,1242.0
2023-02-23,1297.0
2023-02-24,1178.0
2023-02-25,1128.0
2023-02-26,1190.0
2023-02-27,1732.0
2023-02-28,1677.0
2023-03-01,1959.0
2023-03-02,1767.0
2023-03-03,1541.0
2023-03-04,1570.0
2023-03-05,1266.0
2023-03-06,1526.0
2023-03-07,1330.0
2023-03-08,1391.0
2023-03-09,1261.0
2023-03-10,1307.0
2023-03-11,1046.0
2023-03-12,917.0
2023-03-13,1376.0
2023-03-14,1282.0
2023-03-15,1571.0
2023-03-16,1645.0
2023-03-17,2509.0
2023-03-18,1158.0
2023-03-19,881.0
2023-03-20,1282.0
2023-03-21,1294.0
2023-03-22,1208.0
2023-03-23,1216.0
2023-03-24,1191.0
2023-03-25,1163.0
2023-03-26,926.0
